"xFilter","xError","FINAL_EXEC_FLAG","LEVEL","GEO_CODE","GEO_NAME",,"TY_DATE","LY_DATE","TY_MODEL","TY_NON_WX_MODEL","TY_SIG_TEMP_NEG_PCT","TY_SIG_TEMP_POS_PCT","TY_SIG_RAIN_PCT","TY_SIG_SNOW_PCT","TY_SIG_SNOW_AND_RAIN_PCT","TY_NULL_FORECAST","TY_MISSING_TEMP","TY_MISSING_PRECIP","LY_MODEL","LY_NON_WX_MODEL","LY_SIG_TEMP_NEG_PCT","LY_SIG_TEMP_POS_PCT","LY_SIG_RAIN_PCT","LY_SIG_SNOW_PCT","LY_SIG_SNOW_AND_RAIN_PCT","LY_NULL_FORECAST","LY_MISSING_TEMP","LY_MISSING_PRECIP","TY_AVG_MIN_TEMP","TY_AVG_MAX_TEMP","TY_TOTAL_PRECIP","TY_TOTAL_SNOW","LY_AVG_MIN_TEMP","LY_AVG_MAX_TEMP","LY_TOTAL_PRECIP","LY_TOTAL_SNOW","NRM_AVG_MIN_TEMP","NRM_AVG_MAX_TEMP","NRM_TOTAL_PRECIP","NRM_TOTAL_SNOW","tytrn","lytrn","comp","tybase","lybase","reasoncode","monthyr","tychg","lychg","impactty","impactly","tycompwoweather","compduetoweather","Datafile","_CreateDt","_CreateBy"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/1/2011,1/2/2010,0.734563,0.768359,2,0,0,0,0,0,0,0,0.959304,0.96216,0,0,29,0,0,0,0,0,22.120858,39.373794,0,0.01251,43.697699,48.252531,0.164265,0,37.450811,47.341834,0.161188,0.164009,694.23469388,812.28571429,-0.145331893,867.10666667,1036.842623,"B",12011,-0.033796,-0.002856,-29.30473691,-2.961222531,-0.112490464,-0.032841429,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/2/2011,1/3/2010,0.926226,0.960586,1,0,0,0,0,0,0,0,1.004843,1.003374,0,0,0,0,0,0,0,0,22.812261,39.394068,0,0.010622,39.604215,48.266448,0.021659,0,37.805253,47.502505,0.161927,0.16603,713.09821429,678.28571429,0.0513242418,781.15939891,790.49617486,"T",12011,-0.03436,0.001469,-26.84063695,0,0.0908955262,-0.039571284,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/3/2011,1/4/2010,0.985524,1.003374,0,0,0,0,0,0,0,0,0.941247,0.955288,0,0,99,0,0,0,0,0,23.703773,41.590352,0,0.010263,43.542732,49.388141,0.972607,0,35.050008,46.01041,0.161568,0.165671,914.35135135,861.1981982,0.0617200004,986.89863388,955.96721311,"L",12011,-0.01785,-0.014041,0,-13.42273564,0.0454258708,0.0162941296,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/4/2011,1/5/2010,0.933113,0.968774,11,0,0,0,0,0,0,0,0.976838,0.966641,0,0,25,0,0,0,0,0,25.673135,37.531343,0.020153,0.014172,44.039363,50.532041,0.228999,0,35.273894,46.150762,0.161568,0.165671,918.76363636,878.46363636,0.0458755472,1045.522459,995.8579235,"B",12011,-0.035661,0.010197,-37.28437641,10.154763246,0.1010460015,-0.055170454,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/5/2011,1/6/2010,0.959838,0.967682,0,0,15,0,0,0,0,0,0.983539,0.968871,0,0,6,0,0,0,0,0,34.396063,45.072592,0.191818,0.014531,41.080512,49.634743,0.023955,0,34.647835,45.896884,0.164692,0.165671,939.82758621,900.09482759,0.0441428585,1097.457377,1017.3912568,"B",12011,-0.007844,0.014668,-8.608455666,14.923094955,0.0714712263,-0.027328368,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/6/2011,1/7/2010,0.966545,0.965393,0,0,32,0,0,0,0,0,0.969513,0.968871,0,0,6,0,0,0,0,0,43.60462,48.389811,0.185828,0.014531,37.670778,48.075475,0.095358,0,35.061258,46.989938,0.165233,0.167832,916.54385965,887.6754386,0.0325213696,1112.837541,1040.9639344,"N",12011,0.001152,0.000642,1.2819888472,0.6682988459,0.0318540063,0,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/7/2011,1/8/2010,0.942272,0.955288,0,0,99,0,0,0,0,0,0.932246,0.955765,0,0,93,0,0,0,0,0,37.049634,47.656838,0.409954,0.014889,39.371656,46.709315,0.747857,0.003909,37.776661,48.786437,0.167362,0.169091,974.97916667,926.70833333,0.0520884852,1232.5848634,1155.1704918,"B",12011,-0.013016,-0.023519,-16.04332458,-27.1684548,0.0389418252,0.0131466601,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/8/2011,1/9/2010,0.938513,0.969407,0,0,2,0,0,0,0,0,0.986104,0.96549,0,4,23,0,0,0,0,0,32.755982,40.86964,0.024186,0.014889,42.184774,53.747459,0.235307,0.003909,36.525683,47.643062,0.174034,0.169091,652.25,690.08333333,-0.054824297,1091.6220219,1037.6349727,"B",12011,-0.030894,0.020614,-33.72457074,21.389807327,0.0258429969,-0.080667294,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/9/2011,1/10/2010,0.915395,0.95808,66,0,2,0,0,0,0,0,0.992214,0.968256,0,4,0,0,0,0,0,0,30.811739,38.516968,0.032916,0.014889,42.570867,54.232365,0.06553,0,36.54825,48.114417,0.17595,0.169091,661.26548673,667.22123894,-0.008926203,823.30092896,795.94918033,"B",12011,-0.042685,0.023958,-35.14260015,19.069350462,0.0744519907,-0.083378194,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/10/2011,1/11/2010,0.914245,0.957544,71,0,0,0,0,0,0,0,0.955992,0.95468,0,7,95,0,0,0,0,0,28.936603,37.788563,0.002749,0.014531,45.1121,55.406294,0.978196,0,36.509955,47.365521,0.186505,0.168733,838.9375,794.54464286,0.0558720741,982.42491803,957.7704918,"B",12011,-0.043299,0.001312,-42.53801653,1.2565948852,0.1111670203,-0.055294946,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/11/2011,1/12/2010,0.935121,0.9688,3,0,0,0,0,0,0,0,0.966268,0.955773,0,1,95,0,0,0,0,0,27.529849,38.425862,0.1096,0.167115,46.661517,53.321103,0.558919,0,36.340699,46.518658,0.195473,0.166214,838.49541284,825.40366972,0.0158610188,1005.0386264,990.01043956,"B",12011,-0.033679,0.010495,-33.8486959,10.390159563,0.0703431267,-0.054482108,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/12/2011,1/13/2010,0.938385,0.955773,0,0,96,0,0,0,0,0,0.985465,0.958669,0,0,78,0,0,0,0,0,32.648878,47.417638,0.848046,0.013097,45.820555,54.89,0.254073,0,37.988576,46.69891,0.206029,0.164596,832.90654206,851.45794393,-0.021787808,1032.9030769,1015.4236264,"B",12011,-0.017388,0.026796,-17.9601187,27.209291492,0.0322936631,-0.054081471,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/13/2011,1/14/2010,0.955646,0.95468,0,1,99,0,0,0,0,0,0.964317,0.957577,0,6,76,0,0,0,0,0,43.198901,53.218355,0.905689,0.013097,44.544897,49.149577,0.281222,0,36.256577,45.439616,0.208098,0.164596,909.43859649,867.75438596,0.0480368768,1046.8121858,1042.4185792,"B",12011,0.000966,0.00674,1.0112205715,7.025901224,0.0554168847,-0.007380008,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/14/2011,1/15/2010,0.987721,0.955098,0,31,74,0,0,0,0,0,0.973284,0.95468,0,23,96,0,0,0,0,0,48.507508,54.308741,0.271778,0.009188,42.70955,52.795255,0.514272,0,33.962904,44.129721,0.208098,0.164596,998.43564356,959.37623762,0.0407133348,1153.0345902,1156.3781421,"B",12011,0.032623,0.018604,37.615447435,21.513258955,0.0244782212,0.0162351136,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/15/2011,1/16/2010,0.98034,0.95468,0,22,99,0,0,0,0,0,0.978457,0.968871,0,0,6,0,0,0,0,0,46.662097,52.596609,0.427319,0.013097,36.777665,46.177229,0.092381,0,32.406364,42.955516,0.207544,0.164596,853.94594595,856.0990991,-0.002515075,1010.6069399,1039.2885246,"B",12011,0.02566,0.009586,25.932174078,9.9626197967,-0.021418185,0.0189031101,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/16/2011,1/17/2010,0.982478,0.95468,0,98,99,0,0,0,0,0,0.997856,0.964916,0,30,8,0,0,0,0,0,50.226605,55.053182,0.609016,0.013097,42.253054,52.130867,0.196025,0,32.865289,42.656043,0.205893,0.164596,751.24705882,767.70588235,-0.02143897,776.7210929,803.93333333,"B",12011,0.027798,0.03294,21.59129294,26.481564,-0.015607357,-0.005831613,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/17/2011,1/18/2010,0.952121,0.935807,0,0,6,0,0,0,0,0,0.984982,0.932533,0,84,0,0,0,0,0,0,41.552278,50.663913,0.066374,0.013097,46.844496,57.699355,0.034171,0,35.478032,45.87241,0.196252,0.164596,783.69565217,792.94782609,-0.011668074,876.39256831,958.13387978,"B",12011,0.016314,0.052449,14.297468359,50.253163861,0.0359549125,-0.047622986,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/18/2011,1/19/2010,0.943022,0.969407,2,0,2,0,0,0,0,0,1.006662,0.955157,0,92,2,0,0,0,0,0,36.58627,42.295792,0.072783,0.013097,46.542879,60.03603,0.012764,0,38.151117,47.96787,0.194795,0.164596,862.99074074,848.16666667,0.0174777843,959.17704918,988.29344262,"B",12011,-0.026385,0.051505,-25.30788644,50.902053762,0.114182936,-0.096705152,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/19/2011,1/20/2010,0.953089,0.969348,0,0,0,0,0,0,0,0,1.000928,0.969348,0,0,0,0,0,0,0,0,32.563184,45.153016,0.000358,0.009188,41.238815,56.185397,0.006474,0,38.511032,48.924052,0.192368,0.164596,912.05217391,897.34782609,0.0163864528,996.09087432,1017.2153005,"N",12011,-0.016259,0.03158,0,0,0.0163864528,0,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/20/2011,1/21/2010,0.953914,0.968315,0,0,6,0,0,0,0,0,1.006177,0.967059,0,18,0,0,0,0,0,0,30.867044,43.22527,0.042987,0.013097,42.188007,55.988502,0.001502,0,37.106163,46.804426,0.192171,0.164596,926.17391304,923,0.0034386924,1014.77,1043.9289617,"B",12011,-0.014401,0.039118,-14.61370277,40.836413126,0.0664548274,-0.063016135,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/21/2011,1/22/2010,0.956419,0.956399,0,0,84,0,0,0,0,0,0.982472,0.967059,0,18,0,0,0,0,0,0,42.976861,49.209928,0.46233,0.013097,37.884461,49.958029,0.00215,0,36.4215,45.738112,0.185396,0.164596,996.33663366,994.93069307,0.0014131041,1134.2587432,1158.6377049,"B",12011,0.00002,0.015413,0.0226851749,17.858082946,0.0196928439,-0.01827974,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/22/2011,1/23/2010,0.975268,0.969348,0,0,0,0,0,0,0,0,0.97579,0.969348,0,0,0,0,0,0,0,0,37.220005,49.364235,0,0.009188,39.232283,50.15291,0.059355,0,36.151171,47.575212,0.184645,0.164596,747.14814815,721.44444444,0.0356281123,1010.1094536,1042.5437158,"N",12011,0.00592,0.006442,0,0,0.0356281123,0,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/23/2011,1/24/2010,0.955838,0.969348,0,0,0,0,0,0,0,0,0.937988,0.958054,0,0,76,0,0,0,0,0,38.559727,46.711905,0.019262,0.013097,35.809524,46.711622,0.334628,0,37.57538,49.695452,0.177973,0.164596,694.83870968,687.52419355,0.0106389218,778.44054645,811.92076503,"L",12011,-0.01351,-0.020066,0,-16.29200207,-0.012755441,0.0233943628,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/24/2011,1/25/2010,0.960631,0.968256,0,0,4,0,0,0,0,0,0.988236,0.966582,0,0,23,0,0,0,0,0,43.028825,47.949829,0.241176,0.013097,40.352368,53.94609,0.133421,0,36.054754,48.057869,0.174388,0.164596,823.37931034,841.67241379,-0.021734232,955.05874317,959.23715847,"B",12011,-0.007625,0.021654,-7.282322917,20.77132143,0.0118900328,-0.033624265,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/25/2011,1/26/2010,0.983524,0.969348,0,0,0,0,0,0,0,0,0.97898,0.969348,0,0,0,0,0,0,0,0,40.353209,49.814431,0.006842,0.013097,37.526231,49.347186,0.011789,0,33.283823,46.409635,0.166814,0.164596,867.46728972,876.4953271,-0.010300155,963.69912568,988.37431694,"N",12011,0.014176,0.009632,0,0,-0.010300155,0,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/26/2011,1/27/2010,1.003308,0.968715,0,9,0,0,0,0,0,0,0.98099,0.969348,0,0,0,0,0,0,0,0,36.674244,54.209892,0,0.009188,35.685291,48.638129,0.000556,0,34.075594,45.967637,0.165499,0.164596,906.50980392,889.98039216,0.018572782,1006.7643716,1019.4469945,"T",12011,0.034593,0.011642,34.826999906,0,-0.020559541,0.0391323227,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/27/2011,1/28/2010,0.986784,0.969348,0,0,0,0,0,0,0,0,1.000955,0.969348,0,0,0,0,0,0,0,0,35.07322,50.337623,0,0.009188,40.580623,52.598624,0,0,33.72586,45.659975,0.165602,0.164596,933.02678571,914.36607143,0.0204083625,1020.3579235,1045.1092896,"N",12011,0.017436,0.031607,0,0,0.0204083625,0,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/28/2011,1/29/2010,0.98675,0.969348,0,0,0,0,0,0,0,0,1.004232,0.969407,0,2,0,0,0,0,0,0,36.798819,51.72678,0.119322,0.013097,42.613933,54.700716,0.026329,0,34.233417,46.388199,0.172276,0.164596,987.64444444,979.2,0.0086238199,1141.8836612,1160.3939891,"L",12011,0.017402,0.034825,0,40.410720669,0.0520406082,-0.043416788,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/29/2011,1/30/2010,0.967694,0.967059,0,0,18,0,0,0,0,0,0.969824,0.968256,0,0,4,0,0,0,0,0,43.397027,48.385348,0.228041,0.011077,43.048747,48.660682,0.191854,0,36.234933,46.368065,0.170821,0.162576,877.7961165,890.09708738,-0.013819808,1024.1889071,1046.3939891,"N",12011,0.000635,0.001568,0.650359956,1.6407457749,-0.012730603,0,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/30/2011,1/31/2010,0.951066,0.969348,0,0,0,0,0,0,0,0,0.971812,0.969348,0,0,0,0,0,0,0,0,35.993319,44.607528,0.026649,0.011077,44.234535,49.906199,0.089431,0,37.595393,48.207016,0.164061,0.162576,718.97457627,712.00847458,0.0097837342,788.50114754,817.96065574,"N",12011,-0.018282,0.002464,0,0,0.0097837342,0,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
" "," ","Y","COOP",24,"SEA/TCA WA CP-0024",,1/31/2011,2/1/2010,0.95326,0.969348,0,0,0,0,0,0,0,0,1.008681,1.009248,0,0,2,0,0,0,0,0,32.56322,43.488619,0.004028,0.011077,39.964016,48.764957,0.084612,0,37.076517,47.162334,0.16028,0.162576,889.14782609,883.84347826,0.0060014561,968.89273224,959.87868852,"N",12011,-0.016088,-0.000567,0,-0.544251216,0.0053823639,0,"weather.weatherhist_coop","23FEB11:13:49:58","jbrown"
